hoeveelheid_kacarb,t_half_jaar,t_half_jaar_err
0.171,1153601229.8772502,237067707.81340006
0.274,1426699051.7134411,283019134.4882026
0.378,1420158638.578027,274119598.78242743
0.632,1845540291.5235503,351196889.20387375
1.045,2631663719.9894276,497697459.1524502
1.353,3206367934.7919774,605079521.4489636
