GM,efficientie,efficientie_err,intrinsiek,intrinsiek_err
7,0.0009017857142857142,2.9697895138085316e-05,0.3607142857142857,0.04977346524819476
9,0.0009642857142857143,2.9967176657085908e-05,0.38571428571428573,0.053056875210127384
10,0.0008995535714285714,3.0132457499869015e-05,0.35982142857142857,0.04969915894993409
11,0.0010610119047619047,3.107112334692846e-05,0.42440476190476184,0.058211770982404876
13,0.0009233630952380953,2.9784869627213e-05,0.3693452380952381,0.050905456608816416
15,0.0010461309523809525,3.140540834903452e-05,0.41845238095238096,0.0574618893819532
