GM,counts,achtergrond,counts_err,achtergrond_err
7,1399,187,37.403208418530085,13.674794331177344
9,1455,159,38.144462245521304,12.609520212918492
10,1421,212,37.69615364994153,14.560219778561036
11,1580,154,39.74921382870358,12.409673645990857
13,1418,177,37.656340767525464,13.30413469565007
15,1589,183,39.8622628559895,13.527749258468683
